설치장소명,와이파이SSID,관리기관전화번호,위도,경도
천지연 공영주차장1-1,Jeju Free WiFI,064-710-2352,33.25152344,126.5593512
천지동자원순환센터 (아랑조을거리입구 서 )1-1,Jeju Free WiFI,064-710-2352,33.25139506,126.5595158
천지동자원순환센터 (아랑조을거리입구 서 )1-2,Jeju Free WiFI,064-710-2352,33.25139506,126.5595158
아랑조을거리2-1,Jeju Free WiFI,064-710-2352,33.24987165,126.5598839
아랑조을거리3-1,Jeju Free WiFI,064-710-2352,33.24941085,126.5606314
아랑조을거리3-2,Jeju Free WiFI,064-710-2352,33.24941085,126.5606314
아랑조을거리 공영주차장 1-1,Jeju Free WiFI,064-710-2352,33.247753,126.5602822
아랑조을거리 공영주차장 1-2,Jeju Free WiFI,064-710-2352,33.247753,126.5602822
아랑조을거리공영주차장 1-3,Jeju Free WiFI,064-710-2352,33.247753,126.5602822
7-1코스,Jeju Free WiFI,064-710-2352,33.24740549,126.5586574
천지동 아랑조을거리 1-1,Jeju Free WiFI,064-710-2352,33.24886117,126.5591386
천지동 아랑조을거리 1-2,Jeju Free WiFI,064-710-2352,33.24886117,126.5591386
제주은행(북)1-1,Jeju Free WiFI,064-710-2352,33.2481299,126.5643042
제주은행(북)1-2,Jeju Free WiFI,064-710-2352,33.2481299,126.5643042
동미빌딩1-1,Jeju Free WiFI,064-710-2352,33.24843804,126.5658499
동미빌딩1-2,Jeju Free WiFI,064-710-2352,33.24843804,126.5658499
정방동 공영주차장 1-1,Jeju Free WiFI,064-710-2352,33.2478199,126.5653659
이중섭거리,Jeju Free WiFI,064-710-2352,33.24590254,126.5640819
자치경찰단 서귀포지역경찰대,Jeju Free WiFI,064-710-2352,33.24495551,126.5657325
솔동산 문화의 거리,Jeju Free WiFI,064-710-2352,33.24465021,126.5645433
서귀포성당 뒤 주차장(솔동산로근처),Jeju Free WiFI,064-710-2352,33.24365413,126.5629398
홍연8길,Public WiFi@Seoul,02-3140-8664,37.57665108,126.9313614
홍제천로,Public WiFi@Seoul,02-3140-8664,37.56881389,126.9190206
궁동근린공원,Public WiFi@Seoul,02-3140-8664,37.56861286,126.9196524
궁동근린공원,Public WiFi@Seoul,02-3140-8664,37.56977961,126.9245183
밤고개놀이터,Public WiFi@Seoul,02-3140-8664,,
연희로 11라길,Public WiFi@Seoul,02-3140-8664,37.56802144,126.9296711
연희로 11라길,Public WiFi@Seoul,02-3140-8664,37.56910975,126.9287628
궁뜰어린이공원,Public WiFi@Seoul,02-3140-8664,37.56879275,126.9302285
다람쥐어린이공원,Public WiFi@Seoul,02-3140-8664,37.57582226,126.9342078
연희지하차도 녹지공간,Public WiFi@Seoul,02-3140-8664,,
서대문구청,Public WiFi@Seodaemun,02-3140-8664,37.57915463,126.9367592
서대문구청,Public WiFi@Seoul,02-3140-8664,37.57915463,126.9367592
홍제천 일대,Public WiFi@Seoul,02-3140-8664,,
홍제천 일대,Public WiFi@Seoul,02-3140-8664,37.5751121,126.9264321
연희동주민센터,Public WiFi@Seodaemun,02-3140-8664,37.57388703,126.9352207
사회적경제마을센터,Public WiFi@Seodaemun,02-3140-8664,37.56979231,126.9133525
연희사거리,Public WiFi@Seoul,02-3140-8664,37.56728114,126.9305207
연희로 10가길,Public WiFi@Seoul,02-3140-8664,37.5648327,126.930689
연희로 10길,Public WiFi@Seoul,02-3140-8664,37.56522092,126.9325224
연희로 10길,Public WiFi@Seoul,02-3140-8664,37.56395371,126.9333907
연희로,Public WiFi@Seoul,02-3140-8664,37.56760572,126.9318256
안산 자락길입구,Public WiFi@Seoul,02-3140-8664,,
서대문독립공원,Public WiFi@Seoul,02-3140-8664,37.57460851,126.9556118
연희로 35길,Public WiFi@Seoul,02-3140-8664,37.57795474,126.9348825
연희로 33나길,Public WiFi@Seoul,02-3140-8664,37.57790098,126.9334841
홍연6길,Public WiFi@Seoul,02-3140-8664,37.57672212,126.932533
홍연6길,Public WiFi@Seoul,02-3140-8664,37.57634946,126.9312607
운산면사무소,Public WiFi Free,1899-4876,36.810905,126.580605
해담은어린공원,PublicWiFi@Seoul,02-3140-8664,37.58219238,126.9103967
동구물어린이공원,PublicWiFi@Seoul,02-3140-8664,37.57146173,126.9279152
연세로 명물길,PublicWiFi@Seoul,02-3140-8664,37.55685968,126.935118
연세로 명물길,PublicWiFi@Seoul,02-3140-8664,37.55752266,126.9376676
연세로 명물길,PublicWiFi@Seoul,02-3140-8664,37.55929003,126.9393525
연세로 명물길,PublicWiFi@Seoul,02-3140-8664,37.55890633,126.9430386
연세로 명물길,PublicWiFi@Seoul,02-3140-8664,37.55756328,126.943179
연세로 명물길,PublicWiFi@Seoul,02-3140-8664,,
연세로 명물길,PublicWiFi@Seoul,02-3140-8664,37.55588556,126.9370145
연세로 명물길,PublicWiFi@Seoul,02-3140-8664,37.55962261,126.9451027
연희어린이공원,PublicWiFi@Seoul,02-3140-8664,,
인왕소공원,PublicWiFi@Seoul,02-3140-8664,,
기성면사무소,Public WiFi Free,054-789-6581,36.798224,129.451457
기성보건지소,Public WiFi Free,054-789-6581,36.796948,129.452065
매화면사무소,Public WiFi Free,054-789-6581,36.912833,129.382276
영등포구청,PublicWiFi@YDP,02-2670-4275,37.5251775,126.8951347
